报告日期,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
固定资产原值(万元),126348,124535,121683,118814,119016,118900,118680,122511,122422,307022,383974,429907,448202,448372,450218,444374,
累计折旧(万元),56608,54975,53433,52232,51272,50106,49245,51347,50317,174409,219052,246707,245901,230838,199218,164711,
固定资产净值(万元),69740,69560,68251,66582,67744,68794,69435,71164,72105,132613,164923,183200,202300,217533,251000,279663,
固定资产减值准备(万元),49882,49882,49882,49882,49882,49882,49882,50643,50643,107225,134978,147330,147330,0,0,0,
固定资产(万元),19858,19679,18369,16700,17862,18912,19554,20521,21462,25388,29945,35870,54970,217533,251000,279663,
在建工程(万元),1629,157206,203880,189362,134164,21441,--,--,--,--,--,--,0,140,115,2156,
工程物资(万元),12,14,112,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),9597,9977,10317,3564,3859,4077,4285,4251,3968,4069,4171,4272,4373,5413,6582,7751,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),109,312,1928,1849,2874,2874,2874,566,--,--,--,--,0,0,0,0,
长期待摊费用(万元),266,82,74,135,321,507,99,--,--,--,--,--,0,7437,10089,11117,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),647,91,85,54,130,135,53,70,--,--,--,--,0,205,141,354,
其他非流动资产(万元),237465,4833,4456,9261,4447,81,3376,--,--,--,--,--,0,0,0,0,
非流动资产合计(万元),273547,262844,263012,229949,168594,54682,36225,26200,25429,29457,34116,40142,59344,230729,267927,301040,
资产总计(万元),402767,371382,378629,344369,280370,131372,75788,42073,59160,42626,39278,43740,70145,315668,343901,365310,
短期借款(万元),302,--,81000,80800,80000,28000,50,--,--,--,--,--,0,30245,37630,26105,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,9474,12118,10839,
应付账款(万元),60648,53204,56293,82980,70227,15558,4284,617,6625,2750,195,255,1405,11602,11021,11815,
预收账款(万元),9,8,403,299,151,598,89,96,--,3194,3698,2,882,28,287,143,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),2054,2443,3070,2879,3082,3105,1230,852,1186,1375,4024,4409,5257,1482,1007,688,
应交税费(万元),452,408,343,510,2326,3002,1083,402,295,351,130,352,144,-764,1168,2027,
应付利息(万元),--,--,451,266,170,49,0,--,--,11,--,17,65,175,247,212,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,220,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),55098,9696,1501,762,4310,605,2675,28417,31428,5999,8143,1310,2156,13298,12369,9432,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),13761,14551,11269,960,400,--,--,--,--,5600,--,10000,20000,0,0,0,
其他流动负债(万元),2718,859,840,976,1093,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),152790,81739,155169,170433,161759,50918,9411,30384,39534,19279,16190,16346,29911,65539,75845,61481,
长期借款(万元),154686,184967,104210,63652,7600,--,--,--,--,--,--,--,20000,60000,80000,95000,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),27139,26231,23070,15612,793,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),--,--,--,710,546,217,46,46,46,46,403,623,2603,0,0,0,
长期递延收益(万元),490,617,430,316,392,121,59,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),--,1,6,10,19,26,33,--,--,--,--,--,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
非流动负债合计(万元),184178,211817,127716,80300,9350,364,137,46,46,46,403,623,22603,60000,80000,95000,
负债合计(万元),336968,293556,282885,250733,171109,51282,9548,30430,39579,19325,16593,16969,52513,125539,155845,156481,
实收资本(或股本)(万元),100667,100667,100667,100667,100667,100667,100667,89667,89667,89667,89667,89667,89667,89667,78597,78597,
资本公积(万元),119317,119317,119317,119317,119427,119427,119427,78448,78448,78448,78148,78148,72548,52408,63478,63478,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15564,15564,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),-209432,-199481,-182871,-183471,-170182,-173442,-174440,-175140,-164305,-160585,-160902,-156815,-160354,32283,30417,51189,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
归属于母公司股东权益合计(万元),26318,36263,52884,52284,65683,62423,61425,8745,19581,23301,22685,26771,17632,190129,188056,208829,
少数股东权益(万元),39481,41563,42860,41351,43577,17668,4814,2898,--,--,--,--,0,0,0,0,
所有者权益(或股东权益)合计(万元),65799,77827,95744,93636,109260,80091,66239,11644,19581,23301,22685,26771,17632,190129,188056,208829,
负债和所有者权益(或股东权益)总计(万元),402767,371382,378629,344369,280370,131372,75788,42073,59160,42626,39278,43740,70145,315668,343901,365310,		
  
